Number;Title;ElectionNumber
6;Аверьянов Иван Александрович;1
7;Агишев Ирек Абдулхакович;1
8;Адагамов Рустем Ринатович;1
9;Аитова Екатерина Петровна;2
10;Албуров Георгий Валентинович;1
11;Александрова-Зорина Елизавета Борисовна;1
12;Андреянов Сергей Николаевич;2
13;Аникин Сергей Владимирович;1
14;Аншаков Михаил Геннадьевич;1
15;Артёмов Игорь Владимирович;4
16;Ашурков Владимир Львович;1
17;Бабченко Аркадий Аркадьевич;1
18;Бадыкова Фиалка Ахмадеевна;1
19;Бакиров Игорь Вакильевич;1
20;Баласанов Андрей Евгеньевич;1
21;Барабаш Кирилл Владимирович;1
22;Баронова Мария Николаевна;1
23;Беззуб Алексей Юрьевич;1
25;Безруких Олег Анатольевич;1
27;Бескоровайный Алексей Викторович;1
28;Билунов Денис Борисович;1
29;Блиндул Алексей Валерьевич;1
30;Богомолов Юрий Александрович;1
31;Бондарик Николай Николаевич;4
32;Брусиловский Максим Анатольевич;1
33;Будникова Софья Владимировна;1
34;Будрайтскис Илья Борисович;2
35;Бурашников Дмитрий Андреевич;1
36;Быков Дмитрий Львович;1
37;Быстров Андрей Сергеевич;1
41;Василенко Павел Владимирович;1
42;Васильева Елена Борисовна;1
43;Верзилов Петр Юрьевич;1
44;Виноградов Сергей Николаевич;1
45;Винокуров Александр Иванович;1
46;Вистицкий Михаил Михайлович;1
47;Витухновская Алина Александровна;1
48;Власов Сергей Игоревич;1
49;Волкова Александра Ивановна (Женя Отто);2
50;Волкова Елена Ивановна;1
51;Воробьев Станислав Анатольевич;4
52;Гаврилов Андрей Игоревич;1
53;Газарян Сурен Владимирович;1
54;Галямина Юлия Евгеньевна;1
55;Гарначук Владимир Федорович;1
56;Гаскаров Алексей Владимирович;2
57;Гельфанд Михаил Сергеевич;1
58;Глускин Владимир Александрович;1
59;Головин Дмитрий Александрович;1
60;Гонгальский Максим Брониславович;1
61;Горник Александр Львович;1
62;Городенцев Андрей Геннадьевич;1
64;Гребнева Ирина Георгиевна;1
65;Гудков Геннадий Владимирович;1
66;Гудков Дмитрий Геннадьевич;1
67;Гуляев Сергей Владимирович;1
68;Давидис Сергей Константинович;3
69;Давыденко Денис Вячеславович;1
70;Давыдов Андрей Владимирович;1
71;Дегтярь Иван Васильевич;1
72;Демидов Михаил Александрович;1
73;Демушкин Дмитрий Николаевич;4
74;Дергачев Вадим Александрович;1
75;Дзядко Филипп Викторович;1
76;Доброхотов Роман Александрович;1
77;Долгих Антон Витальевич;3
78;Доможиров Евгений Валерьевич;1
80;Дровецкий Василий Валерьевич;4
81;Езеев Федор Андреевич;1
83;Жиляев Арсений Александрович;1
85;Завесов Александр Львович;3
86;Залесский Александр Валерьевич;3
87;Зорин Константин Игоревич;1
88;Иванов Андрей Геннадьевич;1
89;Иванов Дмитрий Сергеевич (kamikadze_d);1
90;Илларионов Андрей Николаевич;1
91;Кавказский Николай Юрьевич;2
92;Кара-Мурза Владимир Владимирович;1
93;Каретникова Анна Георгиевна;3
94;Каржаева Неонила Васильевна;1
95;Каспаров Гарри Кимович;1
96;Кац Максим Евгеньевич;1
97;Кашин Олег Владимирович;1
98;Козырев Олег Вилисович;1
99;Колганов Антон Юрьевич;1
100;Колесников Вадим Владимирович;4
101;Колесников Сергей Владимирович;1
102;Колчинцев Вадим Валерьевич;1
103;Колюцкий Григорий Аркадьевич;1
104;Константинов Даниил Ильич;4
105;Коровин Вадим Александрович;1
106;Косякин Константин Юрьевич;1
107;Кралин Владлен Леонидович (Владимир Тор);4
108;Крашенинников Федор Геннадиевич;1
109;Крылов Константин Анатольевич;4
110;Крылов Олег Анатольевич;1
111;Крюков Василий Анатольевич;1
112;Кудрявцев Федор Александрович;1
113;Кузин Евгений Андреевич;1
114;Кузнецов Андрей Владимирович;1
115;Курамшин Владимир Вячеславович;1
116;Лавров Андрей Валерьевич;1
117;Лазарева Татьяна Юрьевна;1
118;Лазуренко (Северский) Артем Сергеевич;1
119;Лебедев Константин Владимирович;2
120;Левченко Екатерина Валентиновна;1
121;Левшиц Николай Дмитриевич;1
122;Литвинов Георгий Александрович (Артём Драгунов);1
123;Лоскутов Артем Александрович;1
124;Лукьянова Елена Анатольевна;1
125;Лурье Олег Анатольевич;1
126;Ляскин Николай Николаевич;1
127;Магкоева Белла (Изабель) Казбековна;1
128;Малышев Владимир Эдуардович;1
129;Мальцева Анастасия Анатольевна (Анастасия Хрустальная);1
130;Марянин Игорь Сергеевич;1
131;Матвеев Михаил Николаевич;1
132;Медведев Кирилл Феликсович;2
133;Мирзоев Владимир Владимирович;1
134;Митюшкина Надежда Львовна;1
135;Мицкевич Владислав Рудольфович;1
136;Мокшанов Александр Александрович;1
137;Моша Юрий Игоревич;1
139;Мухин Юрий Игнатьевич;1
140;Мыльникова Марина Сергеевна;1
141;Навальный Алексей Анатольевич;1
142;Наганов Владислав Игоревич;1
143;Надеев Анджей Рашидович;1
145;Некрасов Дмитрий Александрович;1
146;Немцов Борис Ефимович;1
147;Николаев Александр Александрович;2
148;Ободина Стелла Юрьевна;1
149;Образцова Алиса Сергеевна;1
150;Овдиенко Игорь Геннадьевич;1
151;Ольшанский Леонид Дмитриевич;1
152;Осенин Владимир Олегович;1
153;Отставных Валерий Владимирович;1
154;Павлов Владимир Георгиевич;1
155;Палчаев Аким Нажмудинович;2
156;Панибратченко Андрей Валерьевич;1
157;Пархоменко Сергей Борисович;1
159;Первушин Александр Сергеевич;1
160;Петречук Лариса Леонидовна;1
161;Печенев Александр Сергеевич;2
162;Пивоваров Андрей Сергеевич;3
163;Пионтковский Андрей Андреевич;1
164;Поляков Анатолий Викторович;1
165;Пономарев Илья Владимирович;1
166;Поткин (Басманов) Владимир Анатольевич;1
167;Поткин (Белов) Александр Анатольевич;4
169;Прибыловский Владимир Валерианович;1
170;Прохоров (Шинфейн) Максим Геннадьевич;1
171;Пряников Павел Николаевич;1
172;Путенихин Дмитрий Викторович (Матвей Крылов);1
173;Пушкарева Наталья Александровна;1
174;Радостева Наталья Евгеньевна;1
175;Радченко Всеволод Валерьевич;4
176;Развозжаев Леонид Михайлович;2
177;Рафаилов Георгий Георгиевич;2
178;Резчиков (Абанин) Алексей Романович;4
179;Ренёв Денис Владимирович;1
180;Романова Ольга Евгеньевна;1
181;Романовский Владимир Геннадьевич;1
183;Русакова Елена Леонидовна;1
184;Рыклин Александр Юрьевич;3
185;Савостин Михаил Олегович;1
186;Сайдашев Радик Ромович;1
187;Самсонов Артём Анатольевич;1
188;Сангаев Игорь Вячеславович;1
189;Санников Максим Андреевич;2
190;Сахнин Алексей Викторович;2
191;Семенов Владимир Матвеевич;1
192;Семенов Игорь Вячеславович;1
193;Скалаух Иван Сергеевич;1
194;Смирнов Сергей Сергеевич;1
195;Соболь Любовь Эдуардовна;1
196;Собчак Ксения Анатольевна;1
197;Спорыхина Ульяна Викторовна;1
198;Стариков Иван Валентинович;1
199;Стефанов Борис Александрович;1
200;Студенова (Пелевина) Наталья Владиславовна;1
202;Сухарева Татьяна Викторовна;1
203;Сухоруков Дмитрий Владимирович;1
204;Терегулов Артур Ринатович;1
205;Тюрин Андрей Владимирович;4
206;Тютрин Иван Иванович;3
207;Удальцов Сергей Станиславович;1
208;Удальцова Анастасия Олеговна;1
211;Холмогорова Наталия Леонидовна;1
212;Царьков Пётр Анатольевич;3
213;Чернов Дмитрий Валерьевич;1
214;Чернышева Наталья Юрьевна;1
215;Чирикова Евгения Сергеевна;1
216;Чупров Алексей Геннадьевич;1
217;Шалимов Роман Николаевич;2
218;Шалимова Надежда Валерьевна;1
219;Шальнев Андрей Сергеевич;3
220;Шаргунов Сергей Александрович;1
221;Шатов Станислав Николаевич;1
222;Шац Михаил Григорьевич;1
223;Шеин Олег Васильевич;1
224;Шелков Павел Николаевич;3
225;Шнейдер Михаил Яковлевич;1
226;Шулипа Юрий Юрьевич;1
227;Щербаков Александр Вениаминович;1
228;Эсауленко Дмитрий Николаевич;1
378;Янкаускас Константин Стасисович;1
380;Яшин (Ясин) Игорь Геннадьевич;1
381;Яшин Илья Валерьевич;1
